size class,count,% embedded
256,0,
180,0,
128,0,
90,0,
64,12,
45,17,
32,40,
22.6,26,
16,2,
11.3,0,
8,1,
5.6,0,
4,1,
2.8,0,
2,0,
1.4,0,
1,1,
<1,0,
Date,,
Sample,,
Note,,
