size class,count,% embedded
256,0,
180,0,
128,0,
90,0,
64,0,
45,0,
32,21,
22.6,30,
16,6,
11.3,4,
8,6,
5.6,4,
4,2,
2.8,0,
2,0,
1.4,0,
1,27,
<1,0,
Date,,
Sample,,
Note,,
