size class,count,% embedded
256,0,
180,0,
128,0,
90,3,
64,10,
45,32,
32,30,
22.6,19,
16,4,
11.3,0,
8,0,
5.6,0,
4,0,
2.8,0,
2,0,
1.4,0,
1,2,
<1,0,
Date,,
Sample,,
Note,,
