size class,count,% embedded
256,0,
180,0,
128,0,
90,1,
64,9,
45,22,
32,35,
22.6,16,
16,2,
11.3,3,
8,0,
5.6,1,
4,3,
2.8,1,
2,0,
1.4,0,
1,7,
<1,0,
Date,,
Sample,,
Note,,
