size class,count,% embedded
256,0,
180,0,
128,0,
90,0,
64,0,
45,0,
32,0,
22.6,17,
16,34,
11.3,18,
8,16,
5.6,8,
4,1,
2.8,1,
2,1,
1.4,0,
1,4,
<1,0,
Date,,
Sample,,
Note,,
