size class,count,% embedded
256,0,
180,0,
128,0,
90,0,
64,0,
45,0,
32,1,
22.6,15,
16,31,
11.3,22,
8,16,
5.6,9,
4,3,
2.8,0,
2,0,
1.4,0,
1,3,
<1,0,
Date,,
Sample,,
Note,,
