size class,count,% embedded
256,0,
180,0,
128,0,
90,3,
64,17,
45,21,
32,31,
22.6,11,
16,1,
11.3,0,
8,2,
5.6,0,
4,2,
2.8,1,
2,0,
1.4,0,
1,11,
<1,0,
Date,,
Sample,,
Note,,
