size class,count,% embedded
256,0,
180,0,
128,0,
90,0,
64,0,
45,0,
32,6,
22.6,36,
16,23,
11.3,3,
8,2,
5.6,0,
4,8,
2.8,2,
2,0,
1.4,0,
1,20,
<1,0,
Date,,
Sample,,
Note,,
