size class,count,% embedded
256,0,
180,0,
128,0,
90,0,
64,0,
45,0,
32,16,
22.6,28,
16,16,
11.3,5,
8,9,
5.6,5,
4,5,
2.8,6,
2,0,
1.4,0,
1,10,
<1,0,
Date,,
Sample,,
Note,,
