size class,count,% embedded
256,0,
180,0,
128,0,
90,0,
64,0,
45,5,
32,48,
22.6,28,
16,0,
11.3,0,
8,0,
5.6,2,
4,7,
2.8,1,
2,0,
1.4,0,
1,9,
<1,0,
Date,,
Sample,,
Note,,
