size class,count,% embedded
256,0,
180,0,
128,0,
90,0,
64,0,
45,2,
32,25,
22.6,33,
16,11,
11.3,0,
8,0,
5.6,0,
4,4,
2.8,5,
2,0,
1.4,0,
1,20,
<1,0,
Date,,
Sample,,
Note,,
