size class,count,% embedded
256,,
180,,
128,,
90,,
64,,
45,4,25%
32,17,6%
22.6,41,7%
16,10,
11.3,2,
8,13,
5.6,1,
4,11,
2.8,1,
2,4,
1.4,,
1,,
<1,,
,,
,,
Sample,,
Date,7/22/14,
Note,,
