size class,count,% embedded
256,,
180,,
128,,
90,,
64,,
45,,
32,,
22.6,,
16,,
11.3,,
8,2,
5.6,5,
4,12,
2.8,8,
2,21,
1.4,,
1,21,
<1,31,
Date,7/26/14,
Sample,across bed,
Note,"22 inches from RB, clay terrace on stream bottom",
