size class,count,% embedded
256,,
180,,
128,,
90,,
64,,
45,,
32,20,
22.6,25,
16,8,13%
11.3,8,
8,19,26%
5.6,6,
4,9,
2.8,4,
2,5,
1.4,,
1,1,
<1,,
,,
,,
Sample,,
Date,7/22/14,
Note,RBM XS 4A,
