size class,count,% embedded
256,,
180,,
128,,
90,,
64,,
45,1,
32,4,0.75
22.6,7,0.285714286
16,2,
11.3,5,
8,1,
5.6,5,
4,3,
2.8,2,
2,9,
1.4,14,
1,30,
<1,30,
Date,8/1/14,
Sample,"whole width of channel, 2 m upstream and downstream of xs",
Note,sand silt mix,
Data Collectors,"JN, BK",
