size class,count,% embedded
256,,
180,,
128,,
90,,
64,,
45,,
32,17,24%
22.6,23,9%
16,8,
11.3,2,
8,7,
5.6,10,
4,18,
2.8,9,
2,5,
1.4,,
1,,
<1,10,
,,
,,
Sample,,
Date,7/22/14,
Note,,
