size class,count,% embedded
256,,
180,,
128,,
90,,
64,8,50%
45,24,17%
32,28,11%
22.6,22,23%
16,6,
11.3,1,
8,3,
5.6,2,
4,5,
2.8,2,
2,,
1.4,,
1,3,
<1,2,
,,
,,
Sample,"cross stream gravel, riffle/glide gravel bar",
Date,7/21/14,
Note,,
