size class,count,% embedded
256,,
180,,
128,,
90,,
64,4,
45,17,
32,25,
22.6,41,2%
16,4,
11.3,1,
8,1,
5.6,1,
4,3,
2.8,2,
2,2,
1.4,1,
1,1,
<1,,
,,
,,
Sample,cross-stream gravel riffle/glide,
Date,7/21/14,
Note,ds of beav dam,
