size class,count,% embedded
256,,
180,,
128,,
90,,
64,,
45,,
32,5,
22.6,4,
16,12,
11.3,8,
8,15,
5.6,10,
4,8,
2.8,3,
2,7,
1.4,,
1,8,
<1,20,
Date,7/26/14,
Sample,across channel at xs,
Note,"54 inches on RB, gravel piling on top of rootwads",
Data Collectors,"carolyn dougherty, daniella corvillon",
