size class,count,% embedded
256,,
180,,
128,,
90,,
64,,
45,1,
32,16,6%
22.6,37,3%
16,8,
11.3,2,
8,3,
5.6,2,
4,5,
2.8,,
2,15,
1.4,1,
1,1,
<1,9,
,,
,,
Sample,,
Date,7/22/14,
Note,,
