size class,count,% embedded
256,,
180,,
128,,
90,,
64,18,33%
45,21,29%
32,33,12%
22.6,21,5%
16,6,17%
11.3,,
8,4,
5.6,2,
4,4,
2.8,1,
2,2,
1.4,,
1,1,
<1,2,
,,
,,
Sample,,
Date,7/22/14,
Note,"embedded gravel, covered in silt",
