size class,count,% embedded
256,,
180,,
128,,
90,,
64,,
45,1,
32,35,0.028571429
22.6,25,
16,7,
11.3,6,
8,10,
5.6,7,
4,4,
2.8,3,
2,2,
1.4,3,
1,,
<1,6,
Date,8/1/14,
Sample,2 m buffer along thalweg,
Note,incised,
Data Collectors,"JN, BK",
